Month,Day,variable,value
8,20,Wind,10.3
8,21,Wind,15.5
8,22,Wind,14.3
8,23,Wind,12.6
8,24,Wind,9.7
8,25,Wind,3.4
8,26,Wind,8.0
8,27,Wind,5.7
8,28,Wind,9.7
8,29,Wind,2.3
8,30,Wind,6.3
8,31,Wind,6.3
9,1,Wind,6.9
9,2,Wind,5.1
9,3,Wind,2.8
9,4,Wind,4.6
9,5,Wind,7.4
9,6,Wind,15.5
9,7,Wind,10.9
9,8,Wind,10.3
9,9,Wind,10.9
9,10,Wind,9.7
9,11,Wind,14.9
9,12,Wind,15.5
9,13,Wind,6.3
9,14,Wind,10.9
9,15,Wind,11.5
9,16,Wind,6.9
9,17,Wind,13.8
9,18,Wind,10.3
9,19,Wind,10.3
9,20,Wind,8.0
9,21,Wind,12.6
9,22,Wind,9.2
9,23,Wind,10.3
9,24,Wind,10.3
9,25,Wind,16.6
9,26,Wind,6.9
9,27,Wind,13.2
9,28,Wind,14.3
9,29,Wind,8.0
9,30,Wind,11.5
5,1,Temp,67.0
5,2,Temp,72.0
5,3,Temp,74.0
5,4,Temp,62.0
5,5,Temp,56.0
5,6,Temp,66.0
5,7,Temp,65.0
5,8,Temp,59.0
5,9,Temp,61.0
5,10,Temp,69.0
5,11,Temp,74.0
5,12,Temp,69.0
5,13,Temp,66.0
5,14,Temp,68.0
5,15,Temp,58.0
5,16,Temp,64.0
5,17,Temp,66.0
5,18,Temp,57.0
5,19,Temp,68.0
5,20,Temp,62.0
5,21,Temp,59.0
5,22,Temp,73.0
5,23,Temp,61.0
5,24,Temp,61.0
5,25,Temp,57.0
5,26,Temp,58.0
5,27,Temp,57.0
5,28,Temp,67.0
5,29,Temp,81.0
5,30,Temp,79.0
5,31,Temp,76.0
6,1,Temp,78.0
6,2,Temp,74.0
6,3,Temp,67.0
6,4,Temp,84.0
6,5,Temp,85.0
6,6,Temp,79.0
6,7,Temp,82.0
6,8,Temp,87.0
6,9,Temp,90.0
6,10,Temp,87.0
6,11,Temp,93.0
6,12,Temp,92.0
6,13,Temp,82.0
6,14,Temp,80.0
6,15,Temp,79.0
6,16,Temp,77.0
6,17,Temp,72.0
6,18,Temp,65.0
6,19,Temp,73.0
6,20,Temp,76.0
6,21,Temp,77.0
6,22,Temp,76.0
6,23,Temp,76.0
6,24,Temp,76.0
6,25,Temp,75.0
6,26,Temp,78.0
6,27,Temp,73.0
6,28,Temp,80.0
6,29,Temp,77.0
6,30,Temp,83.0
7,1,Temp,84.0
7,2,Temp,85.0
7,3,Temp,81.0
7,4,Temp,84.0
7,5,Temp,83.0
7,6,Temp,83.0
7,7,Temp,88.0
7,8,Temp,92.0
7,9,Temp,92.0
7,10,Temp,89.0
7,11,Temp,82.0
7,12,Temp,73.0
7,13,Temp,81.0
7,14,Temp,91.0
7,15,Temp,80.0
7,16,Temp,81.0
7,17,Temp,82.0
7,18,Temp,84.0
7,19,Temp,87.0
7,20,Temp,85.0
7,21,Temp,74.0
7,22,Temp,81.0
7,23,Temp,82.0
7,24,Temp,86.0
7,25,Temp,85.0
7,26,Temp,82.0
7,27,Temp,86.0
7,28,Temp,88.0
7,29,Temp,86.0
7,30,Temp,83.0
7,31,Temp,81.0
8,1,Temp,81.0
8,2,Temp,81.0
8,3,Temp,82.0
8,4,Temp,86.0
8,5,Temp,85.0
8,6,Temp,87.0
8,7,Temp,89.0
8,8,Temp,90.0
8,9,Temp,90.0
8,10,Temp,92.0
8,11,Temp,86.0
8,12,Temp,86.0
8,13,Temp,82.0
8,14,Temp,80.0
8,15,Temp,79.0
8,16,Temp,77.0
8,17,Temp,79.0
8,18,Temp,76.0
8,19,Temp,78.0
8,20,Temp,78.0
8,21,Temp,77.0
8,22,Temp,72.0
8,23,Temp,75.0
8,24,Temp,79.0
8,25,Temp,81.0
8,26,Temp,86.0
8,27,Temp,88.0
8,28,Temp,97.0
8,29,Temp,94.0
8,30,Temp,96.0
8,31,Temp,94.0
9,1,Temp,91.0
9,2,Temp,92.0
9,3,Temp,93.0
9,4,Temp,93.0
9,5,Temp,87.0
9,6,Temp,84.0
9,7,Temp,80.0
9,8,Temp,78.0
9,9,Temp,75.0
9,10,Temp,73.0
9,11,Temp,81.0
9,12,Temp,76.0
9,13,Temp,77.0
9,14,Temp,71.0
9,15,Temp,71.0
9,16,Temp,78.0
9,17,Temp,67.0
9,18,Temp,76.0
9,19,Temp,68.0
9,20,Temp,82.0
9,21,Temp,64.0
9,22,Temp,71.0
9,23,Temp,81.0
9,24,Temp,69.0
9,25,Temp,63.0
9,26,Temp,70.0
9,27,Temp,77.0
9,28,Temp,75.0
9,29,Temp,76.0
9,30,Temp,68.0
